adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/aTovumsNlDjof7YVoU5nW2RHaYn.jpg,"[27, 53, 10749]",616820,en,Halloween Ends,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",3931.896,/3uDwqxbr0j34rJVJMOW6o8Upw5W.jpg,2022-10-12,Halloween Ends,False,6.8,494
False,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,"[27, 53]",760161,en,Orphan: First Kill,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",2702.602,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,2022-07-27,Orphan: First Kill,False,6.8,1066
False,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,"[27, 53, 9648]",717728,en,Jeepers Creepers: Reborn,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",3405.759,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,2022-09-15,Jeepers Creepers: Reborn,False,5.8,300
False,/zgMjGYxVKwUKvl5UdT9jNkiNyCe.jpg,[27],1024530,en,Grimcutty,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,1648.537,/qvg75YJMfbHeDNirUrrgBMQImRn.jpg,2022-10-10,Grimcutty,False,5.8,137
False,/96qFAPRQtwsi53s2sS0WhwBO2j8.jpg,"[878, 27, 28]",870096,zh,重启地球,"When a drug to replicate plant cells creates a sentient form of flower, the planet is over taken by flora and humankind is depleted. A Chinese task force, a widowed father and his young daughter fight to survive in a mission to inject an antidote to the core of the plants to reverse their growth.",1926.274,/kl80N1g69v9QXe1wvkFza31WhD4.jpg,2022-08-04,Restart The Earth,False,6.8,45
False,/2k9tBql5GYH328Krj66tDT9LtFZ.jpg,"[53, 12, 27]",760741,en,Beast,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",1219.133,/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg,2022-08-11,Beast,False,7,692
False,/olPXihyFeeNvnaD6IOBltgIV1FU.jpg,"[27, 9648, 53]",882598,en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",950.614,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022-09-23,Smile,False,6.8,260
False,/pfAZP7JvTTxqgq7n6A1OYgkAdEW.jpg,"[28, 14, 27, 10770]",894205,en,Werewolf by Night,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.",839.817,/jmv7EbqBuEk4V1U7OoSBaxkwawO.jpg,2022-09-25,Werewolf by Night,False,7.2,473
False,/3f2xX0r2x0RbMR2spoqkdUIhuuj.jpg,[27],1023086,en,Devil's Workshop,"Desperate for a role as a demonologist, struggling actor Clayton contacts Eliza, an expert in devil lore, to help him prepare. As he spends the weekend at her home, Eliza forces Clayton to confront his troubling past, perform dark rituals, and sacrifice a goat. Does she want to help Clayton, seduce him—or destroy him?",813.539,/fJQr6E6tUwihQuQgTSDUkKsrVZA.jpg,2022-09-30,Devil's Workshop,False,6.2,43
False,/y5Z0WesTjvn59jP6yo459eUsbli.jpg,"[27, 53]",663712,en,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",859.152,/yB8BMtvzHlMmRT1WmTQnGv1bcOK.jpg,2022-10-06,Terrifier 2,False,7,10
